"","trait","h2_estimate","is_heritable","dataset","simple_name"
"170","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae",0.009367023,"NS","Goodrich 2014","f_Coriobacteriaceae"
"171","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae",3.58e-13,"NS","Turnbaugh 2009","f_Coriobacteriaceae"
"172","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae",0.267011474,"NS","Yatsunenko 2012","f_Coriobacteriaceae"
"173","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae",3.12e-12,"NS","Yatsunenko 2012","f_Corynebacteriaceae"
"174","k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cyclobacteriaceae",0.07005261,"NS","Yatsunenko 2012","f_Cyclobacteriaceae"
"175","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae",0.290993023,"heritable","Goodrich 2014","f_Dehalobacteriaceae"
"176","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae",0.687819655,"heritable","Yatsunenko 2012","f_Dehalobacteriaceae"
"177","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae",0.172131057,"NS","Goodrich 2014","f_Desulfovibrionaceae"
"178","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae",0.147158929,"NS","Turnbaugh 2009","f_Desulfovibrionaceae"
"179","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae",8.78e-15,"NS","Yatsunenko 2012","f_Desulfovibrionaceae"
"180","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae",0.195780525,"NS","Goodrich 2014","f_Enterobacteriaceae"
"181","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae",0.247772138,"NS","Yatsunenko 2012","f_Enterobacteriaceae"
"182","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae",1.74e-14,"NS","Yatsunenko 2012","f_Enterococcaceae"
"183","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae",5.72e-14,"NS","Goodrich 2014","f_Erysipelotrichaceae"
"184","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae",0.188108651,"NS","Turnbaugh 2009","f_Erysipelotrichaceae"
"185","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae",0.396351725,"NS","Yatsunenko 2012","f_Erysipelotrichaceae"
"186","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae",0.081276863,"NS","Goodrich 2014","f_Eubacteriaceae"
"187","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae",3.89e-14,"NS","Yatsunenko 2012","f_Eubacteriaceae"
