"","trait","h2_estimate","is_heritable","dataset"
"3372","4473509",1.07e-14,"NS","Goodrich_2014_TwinsUK"
"3373","4473509",0.107983581,"NS","Goodrich_2014_Yatsunenko"
"3374","4473977",9.02e-18,"NS","Goodrich_2014_Yatsunenko"
"3375","4474255",0.038655786,"NS","Goodrich_2014_Yatsunenko"
"3376","4474380",0.102788124,"heritable","Goodrich_2014_Turnbaugh"
"3377","4474760",0.325409583,"NS","Goodrich_2014_Yatsunenko"
"3378","4474844",8.04e-06,"NS","Goodrich_2014_Yatsunenko"
"3379","4475642",0.170039882,"NS","Goodrich_2014_Yatsunenko"
"3380","4476065",0.115586306,"NS","Goodrich_2014_Yatsunenko"
"3381","4476578",0.198348091,"NS","Goodrich_2014_Yatsunenko"
"3382","4476773",2.7e-15,"NS","Goodrich_2014_Yatsunenko"
"3383","4476780",0.049000446,"NS","Goodrich_2014_TwinsUK"
"3384","4476780",3.56e-13,"NS","Goodrich_2014_Yatsunenko"
"3385","4476950",3.01e-13,"NS","Goodrich_2014_Yatsunenko"
"3386","4477019",0.282710466,"NS","Goodrich_2014_Yatsunenko"
"3387","4477479",1.03e-25,"NS","Goodrich_2014_Yatsunenko"
"3388","4477696",5.8e-11,"NS","Goodrich_2014_TwinsUK"
"3389","4477861",3.32e-15,"NS","Goodrich_2014_Yatsunenko"
"3390","4478125",4.42e-11,"heritable","Goodrich_2014_Turnbaugh"
"3391","4479443",1.35e-11,"NS","Goodrich_2014_Yatsunenko"
"3392","4479612",0.350848863,"NS","Goodrich_2014_Yatsunenko"
"3393","4480189",0.122662827,"NS","Goodrich_2014_Yatsunenko"
"3394","4480359",0.109255084,"NS","Goodrich_2014_TwinsUK"
"3395","4480529",6.14e-11,"NS","Goodrich_2014_Turnbaugh"
"3396","4480861",0.018171336,"heritable","Goodrich_2014_Yatsunenko"
"3397","4480970",2.85e-13,"NS","Goodrich_2014_Yatsunenko"
"3398","4481195",6.03e-14,"NS","Goodrich_2014_TwinsUK"
"3399","4481195",4.73e-13,"NS","Goodrich_2014_Yatsunenko"
"3400","4481427",1.63e-10,"NS","Goodrich_2014_Turnbaugh"
"3401","4481613",0,"NS","Goodrich_2014_TwinsUK"
"3402","4481613",0.050088471,"NS","Goodrich_2014_Yatsunenko"
"3403","4481624",7.27e-15,"NS","Goodrich_2014_Yatsunenko"
